iTransformer,PatchTST,FEDformer,Former,Informer,TFT,VanillaTransformer,BiTCN,DilatedRNN,DeepAR,TCN,GRU,RNN,LSTM,Date,GroundTruth
24.670294036947798,27.016895816854003,25.832922444343147,26.29047145582536,27.169788464641012,27.09201487899375,25.01356664636605,23.373037607414243,26.18912660028667,27.044396809761384,25.21154959976018,24.760102210388244,25.75442228726806,25.01506796252504,2024-01-01,25.172133561558347
27.14707334186712,26.965618684051712,25.436477815303935,24.744717152894378,23.53706427166968,25.751742474772747,26.802470554318138,23.635823457699072,24.916996920339145,23.61047502788435,25.349318694730375,23.969483999062902,23.52655674802213,27.29957828144211,2024-01-02,25.344216116227457
26.44417243947816,24.299361211389723,24.95151860872655,23.747567378486124,27.424893409117807,25.845887305061524,25.702789552983692,25.127689802763086,25.87874800821109,26.10946870204092,23.71716871152447,26.468000461822907,27.300080231614935,25.44912497573428,2024-01-03,25.51619667223254
26.082658204811345,23.96546947152386,27.196826431275632,27.564434788586443,25.31565611091468,26.680316985741328,25.209626463904836,24.869186244214973,26.332081285012478,23.984445958322667,23.827670478648095,25.129922288589412,27.05668577462472,27.63560804957639,2024-01-04,25.6880242680232
24.48372254914421,24.26275999288417,25.429428417065008,27.39479152722817,27.342661788723504,27.106727139735014,27.766849301417103,24.789185279598655,24.173471252642962,25.36152370124047,26.064287835039956,26.544731288290997,25.04609791600284,26.87792543219741,2024-01-05,25.859647987374466
24.654995055819157,24.103904277080545,27.297414732360657,27.7420261072552,27.16055891070744,26.656931403800357,24.47389934777961,25.155034970109202,26.20900481088981,27.246275155248135,25.783731427467725,25.11359274240141,24.339767095380218,25.025436512927573,2024-01-06,26.031016974474348
24.434414897666326,24.57985229201724,25.9586200832744,28.181711739579267,26.470145492940198,24.714463434458327,25.892274162241307,27.416011422181064,27.039363762883966,25.935969380016065,27.558802028914723,24.526998988220218,24.881628741869758,26.355660366141358,2024-01-07,26.202080448993527
27.83749230423239,27.104814814798075,25.880565438832278,25.0683687180106,27.326584558137956,25.725857745110645,24.54088642181827,28.089699935660065,25.04207293713689,28.36151713674445,25.01550605998003,28.343114903083702,24.88056537615254,28.34133027904698,2024-01-08,26.37278772113265
26.947548253615647,24.827842800483726,26.393807349321236,26.128056282253446,28.0571504518482,28.25542276794701,27.502704689710534,26.163498984753076,27.665615076345038,26.779325346429218,24.64297485511101,25.167894238365207,25.0362233238386,27.973210637650507,2024-01-09,26.54308820664281
27.545221752998955,25.98883396298982,25.918442938471344,27.74588534463114,26.329492728418906,25.611393889190182,28.385237650611376,28.337375450344762,27.04802256387122,25.99758005235859,26.509086513535276,28.666615417668698,26.78717819647771,25.10239901697966,2024-01-10,26.712931441814774
